104年,基隆市,68615,46422,7501,5270,4305,490,1217,37,412,8,19,2934
104年,新竹市,79015,52161,7811,4506,7486,2385,668,635,264,3,182,2914
104年,嘉義市,47250,19236,13008,5923,2596,928,2527,321,689,5,9,2007
104年,金門縣,11554,6179,2148,1267,658,58,272,61,91,0,81,739
104年,連江縣,3045,779,580,362,123,17,125,41,19,7,24,967
105年,新北市,525890,286816,118048,64118,30341,7880,4161,1007,1356,9,211,11944
105年,臺北市,470481,307563,122608,9830,9543,1504,1498,246,514,1,127,17046
105年,桃園市,378295,227660,55941,37218,34012,2832,6224,1560,2120,47,181,10501
105年,臺中市,406782,229592,67476,44726,36909,2797,5513,1369,2947,118,57,15279
105年,臺南市,326283,168428,77265,30719,23258,3655,3072,1936,1373,123,84,16369
105年,高雄市,439217,210807,72414,27880,36370,11764,7929,2564,5431,68,109,63880
105年,宜蘭縣,75765,33396,18394,8433,7516,1401,1006,263,252,22,188,4895
105年,新竹縣,81101,37902,25064,8762,6253,190,1028,441,338,34,3,1087
105年,苗栗縣,88922,34533,19132,12590,13446,2540,2143,507,377,32,62,3560
105年,彰化縣,181448,93253,30728,20024,19033,4472,3627,1473,1019,466,262,7091
105年,南投縣,83335,42719,17383,10756,7502,912,1099,659,337,66,510,1392
105年,雲林縣,86214,28423,23803,8443,6484,603,7894,1005,1609,250,34,7665
105年,嘉義縣,92934,34897,26172,17246,7684,2240,1358,407,295,108,29,2497
105年,屏東縣,134135,54207,29966,18071,14462,1591,3849,2000,437,69,39,9445
105年,臺東縣,42884,15631,10272,10920,4559,116,274,125,36,67,340,546
105年,花蓮縣,51481,28357,7089,6922,5596,327,751,250,171,17,1182,820
105年,澎湖縣,17504,10141,2524,1709,1828,98,248,162,63,7,22,702
105年,基隆市,73229,48964,10283,6207,4242,595,956,78,354,5,33,1511
105年,新竹市,80531,55913,7542,4349,4551,2125,680,729,268,4,392,3978
105年,嘉義市,47837,18032,13408,8047,2255,1248,2675,363,693,2,0,1113
105年,金門縣,14663,7606,2799,1583,771,33,321,110,112,0,86,1243
105年,連江縣,2741,664,635,239,81,11,115,17,10,5,28,936
106年,新北市,609218,320953,143667,73554,34857,13184,5505,2694,1270,95,236,13202
106年,臺北市,482330,284306,156446,8166,8893,1275,1016,256,687,1,125,21159
106年,桃園市,488488,272186,70286,52028,65370,4164,10260,1442,2442,70,189,10053
106年,臺中市,460695,244603,68729,68113,41805,3073,5427,1495,2626,125,6279,18421
106年,臺南市,349952,172832,78737,35167,37115,4062,3248,2072,1482,148,104,14986
106年,高雄市,498632,233943,73154,35699,48061,16791,8752,2663,5716,89,74,73690
106年,宜蘭縣,85358,36933,21283,12075,7990,1063,1203,530,294,57,476,3455
106年,新竹縣,90785,40901,27220,11212,7633,309,969,849,422,45,5,1220
106年,苗栗縣,109338,44871,23629,15270,14985,2362,2692,726,374,167,9,4252
106年,彰化縣,207006,100239,37677,26981,19799,4586,4524,1755,1411,439,2207,7389
106年,南投縣,82411,40333,18602,11827,7224,928,881,312,193,61,719,1332
106年,雲林縣,85951,32358,23290,8803,7201,447,5487,649,503,264,41,6908
106年,嘉義縣,99245,36647,29119,17641,7883,2378,1863,485,420,190,28,2591
106年,屏東縣,151041,61296,38903,20569,13562,2411,4065,2220,605,93,45,7273
106年,臺東縣,47273,17880,11250,11725,5011,165,296,113,34,74,379,345
106年,花蓮縣,59876,34193,7068,7645,7268,333,885,204,112,18,1192,960
106年,澎湖縣,19635,10870,3823,1835,1715,60,389,128,61,4,74,677
106年,基隆市,86505,57039,13216,6844,5770,881,1058,58,317,4,67,1252
106年,新竹市,86845,57217,7540,7414,5431,3000,858,654,321,2,213,4195
106年,嘉義市,48732,17318,13863,8834,2563,1694,2547,403,440,5,14,1052
106年,金門縣,16844,9387,2853,1894,647,31,342,142,142,1,80,1325
106年,連江縣,3379,828,1017,279,98,15,129,20,8,4,33,947
107年,新北市,762756,420537,183763,82324,35279,13254,9573,3468,1865,10,132,12551
107年,臺北市,470866,271868,156696,7914,7150,1322,1129,267,918,1,96,23506
107年,桃園市,568369,300337,95851,62347,69997,5582,14731,1827,7101,65,187,10342
107年,臺中市,538695,286280,87493,81051,42721,3755,5929,2306,2830,143,5465,20722
107年,臺南市,431904,220548,98743,42650,38388,4939,4082,2554,1833,158,115,17895
107年,高雄市,629572,295696,99818,52448,62181,22216,14941,6304,7486,128,67,68288
107年,宜蘭縣,101266,43267,25272,16739,7763,1255,1272,647,311,21,396,4322
107年,新竹縣,117706,53521,35330,14439,11104,212,1276,831,479,51,9,454
107年,苗栗縣,115628,48570,22563,18772,14321,1633,3539,645,423,44,18,5099
107年,彰化縣,275369,151131,42932,35334,21639,3939,5429,968,1222,776,2626,9374
107年,南投縣,84650,39778,20142,12850,7124,846,1231,415,297,36,904,1027
107年,雲林縣,112234,35199,39015,10923,9568,638,6753,788,468,336,141,8405
107年,嘉義縣,107809,38895,33283,19174,9577,1869,1766,296,328,189,26,2407
107年,屏東縣,175412,68504,47313,23580,15470,2778,5839,2483,794,166,34,8452
107年,臺東縣,49644,17177,12439,13077,5421,190,348,149,29,68,330,417
107年,花蓮縣,66484,38746,8605,7675,8314,50,821,230,118,10,1055,860
107年,澎湖縣,22146,12070,4876,2194,1490,35,496,162,143,1,142,537
107年,基隆市,99792,59703,20624,9751,5497,676,1605,119,571,7,67,1173
107年,新竹市,102157,69627,8547,8224,5623,3030,1260,823,402,3,184,4433
107年,嘉義市,68790,22902,23558,12692,2647,2016,2453,406,466,13,183,1453
107年,金門縣,16467,9233,2098,1896,763,53,317,210,110,1,105,1683
107年,連江縣,3999,1061,1709,338,121,23,239,25,11,5,33,433
108年,新北市,767853,389672,223446,83822,34977,10132,7434,2819,1609,62,81,13800
108年,臺北市,489638,278000,164591,12483,6512,1296,1483,289,807,0,73,24104
108年,桃園市,712205,359271,123899,79520,105369,6796,15498,2079,8870,69,203,10633
108年,臺中市,534413,282776,88478,76161,44161,3732,5803,2181,2578,122,5929,22492
108年,臺南市,484945,240672,104010,53810,50690,5268,4581,2931,2040,167,134,20642
108年,高雄市,707788,370798,113347,56276,66625,29454,19497,6331,6174,155,93,39038
108年,宜蘭縣,101485,43867,25025,15574,8924,1542,1442,566,392,31,392,3731
108年,新竹縣,128122,55643,38893,16231,13450,379,1428,1008,534,37,18,502
108年,苗栗縣,116772,46133,23171,20934,13015,1590,4370,591,614,52,12,6289
108年,彰化縣,309805,118324,48742,93492,21992,5042,5301,893,1161,2085,2694,10080
108年,南投縣,102611,49041,23530,15933,8255,954,1801,493,443,65,751,1345
108年,雲林縣,121392,42310,40583,12281,11196,470,7515,955,367,408,455,4853
108年,嘉義縣,109895,41192,30846,20867,9085,2375,1830,211,280,153,29,3027
